,Position,Points,Team,FG%,FT%,3PM,Rebounds,Assists,Steals,Blocks,Turnovers
0,SF,19.9,DAL,43.1,74.3,2.7,9.2,3.3,1.3,0.7,2.1
1,SF,17.3,LAC,44.9,77.5,2.2,7.4,3.2,1.3,0.7,2.5
2,SF,19.4,NYK,41.9,82.7,2.3,7.1,3.5,1.0,0.7,1.9
3,PG,20.3,MIA,40.6,80.5,2.5,6.2,8.5,1.7,0.3,3.7
4,SG,21.8,PHX,42.1,81.0,2.8,6.2,4.2,1.4,0.4,2.2
5,PG,21.3,PHX,43.2,81.9,2.7,5.1,6.5,1.5,0.4,3.3
6,SF,17.2,LAL,41.6,76.7,2.3,7.6,3.6,1.7,0.8,2.5
7,SF,19.5,HOU,44.5,78.2,2.2,9.2,3.1,1.3,0.9,2.2
8,SF,19.9,DET,45.4,68.8,2.6,8.0,4.4,1.4,0.9,1.9
9,C,17.6,PHI,47.6,68.3,0.7,13.3,3.6,0.8,1.8,2.9
10,C,20.8,DET,51.5,70.6,0.9,16.0,3.3,1.3,2.8,3.0
11,SG,22.0,MIL,44.3,76.7,3.1,6.4,4.6,1.2,0.6,2.1
12,SF,19.5,UTA,43.0,85.5,1.8,8.3,3.2,1.3,0.9,2.1
13,C,21.9,LAL,53.6,70.5,0.7,13.4,4.0,1.2,1.5,3.1
14,SG,21.8,SAS,44.2,76.3,3.3,6.9,4.4,1.1,0.7,2.5
15,PG,21.1,CHA,42.5,73.5,2.9,6.0,9.4,2.0,0.5,3.5
16,SG,21.4,BRO,42.2,81.4,3.1,5.7,4.4,1.6,0.5,2.1
17,SF,20.1,ATL,45.1,80.6,2.2,8.4,3.8,1.3,0.7,1.9
18,SF,20.5,CLE,47.4,75.8,2.6,8.1,3.7,1.2,0.9,2.4
19,PF,21.1,BOS,48.0,68.3,2.2,9.6,3.7,1.0,1.3,2.0
20,C,22.0,IND,52.5,65.8,0.8,16.2,3.3,1.5,2.0,3.1
21,C,20.6,NYK,52.4,66.7,1.0,15.8,2.5,1.0,3.3,2.1
22,PG,22.7,NYK,42.3,78.4,2.9,6.2,7.7,1.6,0.5,3.2
23,SF,19.3,SAS,43.2,74.6,2.2,9.5,4.2,1.3,1.1,2.4
24,SF,19.5,PHI,48.2,73.5,2.4,8.0,3.1,1.7,0.8,2.3
25,SF,20.6,POR,47.4,77.7,2.4,9.3,3.5,1.1,1.0,2.2
26,PG,21.3,UTA,41.8,82.2,2.5,5.8,7.7,1.6,0.4,2.3
27,SF,20.4,PHX,46.0,76.6,2.1,8.2,3.4,1.4,0.9,2.2
28,PF,21.9,UTA,45.2,74.8,2.0,10.4,3.4,1.2,0.9,2.1
29,C,20.9,DEN,59.1,66.2,0.6,13.4,2.3,1.1,1.7,2.2
30,SF,21.6,BOS,42.8,83.3,3.2,7.6,3.5,1.6,0.5,2.3
31,SG,21.2,NYK,40.8,83.3,3.0,6.9,4.7,1.4,0.6,2.2
32,C,22.2,TOR,55.3,73.9,0.8,16.3,2.7,1.3,2.5,3.4
33,PF,20.3,LAC,48.7,76.8,1.7,10.7,3.4,1.3,1.0,2.2
34,PG,22.3,CHI,43.0,83.0,2.3,5.8,7.9,1.8,0.5,3.2
35,SG,21.4,LAL,44.1,74.5,3.1,6.5,5.0,1.6,0.6,2.6
36,PF,20.7,DEN,45.7,75.8,2.4,9.8,3.8,1.3,1.4,2.5
37,PF,20.4,NYK,49.2,68.8,2.2,10.7,3.5,1.4,1.3,2.3
38,PF,20.5,SAS,47.4,67.3,1.6,12.5,3.6,1.4,1.6,2.4
39,SF,19.6,MIN,44.5,81.8,2.2,9.5,4.7,1.6,1.0,3.1
40,PG,21.7,DEN,44.1,83.0,2.6,5.5,8.3,1.8,0.4,3.3
41,PF,20.1,PHI,45.4,78.8,2.2,10.7,3.5,1.4,1.3,2.6
42,SF,20.2,MIA,42.5,81.3,3.2,7.9,4.3,1.6,0.6,2.4
43,C,21.1,NOP,56.7,69.3,1.2,13.4,3.0,0.6,2.9,2.0
44,C,17.9,ORL,52.0,64.1,0.8,14.9,4.2,1.2,1.3,2.4
45,SF,19.5,CHI,47.3,78.3,1.8,8.5,3.3,2.1,0.5,2.2
46,PF,20.9,POR,47.3,74.2,1.5,11.2,4.6,1.1,1.0,2.0
47,PF,20.2,ATL,47.1,79.5,1.5,9.6,3.2,1.4,1.8,2.2
48,SF,20.8,MEM,47.6,78.7,2.6,9.8,4.4,1.3,1.2,3.2
49,PG,23.4,PHI,40.7,82.1,2.6,5.9,7.8,1.7,0.5,3.3
50,C,21.2,CHA,55.1,71.1,1.0,16.9,3.6,1.5,2.2,3.6
51,SF,20.9,DEN,47.0,73.2,3.0,8.7,4.9,1.4,0.7,2.4
52,PF,22.3,PHX,50.2,70.7,1.7,10.7,3.5,1.3,0.9,2.5
53,PG,23.1,GSW,41.8,83.1,3.0,5.8,7.0,1.8,0.3,3.4
54,SG,22.2,UTA,46.0,73.9,2.7,6.1,4.2,1.8,0.6,2.3
55,PG,22.5,CLE,44.9,78.8,2.6,5.7,7.1,1.8,0.7,3.8
56,SG,23.2,GSW,41.1,80.7,3.0,7.2,5.0,1.6,0.5,3.1
57,PG,22.9,DET,45.8,80.5,2.5,5.7,7.5,2.0,0.5,3.3
58,C,23.1,DAL,51.1,68.4,1.2,16.3,3.2,1.6,1.8,3.0
59,SG,21.9,IND,43.5,80.0,2.8,6.4,5.1,1.5,0.7,2.9
60,PG,22.3,DAL,43.9,85.3,3.0,5.7,7.4,1.6,0.3,2.8
61,PG,24.4,BRO,44.2,78.8,2.9,5.3,7.9,1.5,0.4,2.9
62,PG,23.8,LAL,43.7,83.1,2.5,6.1,8.3,1.6,0.4,3.6
63,C,22.1,HOU,57.4,74.1,0.9,16.4,3.9,1.3,2.7,3.1
64,PF,22.0,OKL,50.3,68.7,1.8,12.4,3.0,1.5,1.3,2.6
65,SG,22.9,CHI,44.2,77.4,3.1,6.2,4.7,2.1,0.4,2.6
66,SF,22.0,IND,46.8,83.8,2.8,8.2,4.0,1.1,0.7,2.4
67,SF,22.4,BRO,47.6,84.1,2.8,7.7,3.4,1.2,0.7,2.0
68,SF,20.5,GSW,43.0,79.9,2.8,9.2,4.0,1.8,0.8,3.0
69,PF,18.8,ORL,45.9,75.7,1.7,10.9,3.7,1.6,1.8,2.3
70,C,21.1,MIA,55.1,72.3,1.2,14.3,2.7,1.4,2.0,2.6
71,C,20.9,SAS,54.8,69.0,1.4,15.3,4.1,0.6,2.1,2.8
72,PF,21.7,HOU,48.6,76.3,1.8,12.4,3.6,1.0,1.6,2.8
73,SG,23.4,DAL,45.0,80.3,3.4,6.8,4.4,1.4,0.5,2.2
74,SG,23.3,DEN,44.8,80.3,3.1,6.4,5.6,1.3,0.6,3.0
75,PG,24.9,MIL,43.1,75.6,3.7,5.2,8.2,1.7,0.5,3.3
76,C,19.9,MEM,56.1,67.6,1.0,14.6,3.9,1.2,2.8,2.8
77,C,23.7,SAC,57.6,70.7,0.8,17.5,4.8,0.9,1.7,3.0
